Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
PKD2L1	"PCL, PKD2L, PKDL, TRPP3"	ENSG00000107593	"Polycystin 2 like 1, transient receptor potential cation channel"	Q9P0L9	10	100288149-100330264	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"lymphoid tissue: 7.7;retina: 12.9"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 5.0;Early spermatids: 10.3;Hofbauer cells: 13.7;Horizontal cells: 19.5;Kupffer cells: 9.7;Late spermatids: 21.6"	"Cell type enhanced"	"Detected in some"		"deep-layer intratelencephalic: 7.7;deep-layer near-projecting: 19.2"	"Cancer enhanced"	"Detected in many"		"Kidney Renal Papillary Cell Carcinoma (TCGA): 5.7"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Gastric cancer: 2.2;Uterine cancer: 1.0"	"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			"CAB022621, HPA070002"	Uncertain		Approved	"Plasma membrane,Actin filaments,Cytosol"			NA	NA			"Cluster 40: Monocytes - Innate immune response"	"Cluster 17: Neuronal - Synaptic function"	"Cluster 53: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 58: Macrophages - Innate immune response"	1	"Plasma membrane"	"Actin filaments, Cytosol"	"CAB022621: , HPA070002: "		"unprognostic (9.32e-2)"	"unprognostic (2.34e-2)"				"unprognostic (1.14e-2)"	"unprognostic (9.85e-2)"			"unprognostic (8.19e-2)"	"unprognostic (2.58e-1)"	"potential prognostic favorable (9.09e-5)"	"unprognostic (3.75e-1)"	"unprognostic (4.65e-2)"	"unprognostic (6.03e-2)"	"unprognostic (2.44e-2)"	"unprognostic (3.23e-1)"	"unprognostic (1.18e-1)"			"unprognostic (1.08e-1)"							"unprognostic (1.57e-2)"		
PKD2L2	TRPP5	ENSG00000078795	"Polycystin 2 like 2, transient receptor potential cation channel"	Q9NZM6	5	137887968-137942747	"Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Transport"	"Ion channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"testis: 7.9"	"Group enriched"	"Detected in many"	4	"Early spermatids: 58.8;Spermatocytes: 43.1"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Uterine Corpus Endometrial Carcinoma (TCGA): 5.1"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in some"			"Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA041903, HPA043634"	Approved		Approved	"Plasma membrane,Cytosol"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 78: Testis - Transcription"	"Cluster 34: Non-specific - Mixed function"	"Cluster 56: Non-specific - Sensory perception"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"		"Plasma membrane"	Cytosol	"HPA041903: AB_2677734, HPA043634: AB_2678591"	"unprognostic (1.74e-1)"			"unprognostic (3.92e-2)"		"unprognostic (2.11e-3)"				"potential prognostic unfavorable (1.36e-4)"			"unprognostic (1.78e-1)"		"unprognostic (5.91e-2)"								"unprognostic (2.89e-2)"	"unprognostic (1.78e-1)"		"unprognostic (1.16e-2)"			"unprognostic (3.46e-1)"		"unprognostic (2.31e-1)"
SCN10A	"hPN3, Nav1.8, PN3, SNS"	ENSG00000185313	"Sodium voltage-gated channel alpha subunit 10"	Q9Y5Y9	3	38696802-38816286	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low cell type specificity"	"Detected in single"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA040337			Approved	"Connecting piece,Flagellar centriole"			NA	NA						"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 21: Early spermatids - Spermatogenesis"		"Connecting piece, Flagellar centriole"		"HPA040337: "																															
SCN11A	"NaN, Nav1.9, SCN12A, SNS-2"	ENSG00000168356	"Sodium voltage-gated channel alpha subunit 11"	Q9UI33	3	38845764-39052157	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Disease variant, FDA approved drug targets, Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"lymphoid tissue: 2.9;placenta: 1.8"	"Cell type enhanced"	"Detected in some"		"Adipocytes: 6.0;Astrocytes: 7.4;Early spermatids: 7.6;Late spermatids: 5.0;Spermatocytes: 18.4;Spermatogonia: 12.0"	"Cell type enhanced"	"Detected in all"		"bergmann glia: 60.4"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Colon enteroendocrine cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA036746, HPA036747"	Uncertain						NA	NA				"Cluster 47: Spleen - Immune response"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 67: Spermatogonia - Spermatogenesis"				"HPA036746: AB_10696785, HPA036747: AB_2675287"			"unprognostic (2.52e-1)"																												
SCN1A	"FEB3, GEFSP2, HBSCI, NAC1, Nav1.1, SCN1, SMEI"	ENSG00000144285	"Sodium voltage-gated channel alpha subunit 1"	P35498	2	165984641-166149214	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Autism, Autism spectrum disorder, Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 11.9;retina: 3.3"	"Group enriched"	"Detected in some"	10	"Excitatory neurons: 396.7;Inhibitory neurons: 474.6;Oligodendrocyte precursor cells: 649.5"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in single"	7	"Glioblastoma Multiforme (TCGA): 2.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Colon enteroendocrine cells, Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA078664			Supported	"Nucleoplasm,Nuclear bodies,Plasma membrane"			NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 8: Neurons - Neuronal signaling"	1	"Nucleoplasm, Plasma membrane"	"Nuclear bodies"	"HPA078664: AB_2686888"							"unprognostic (4.38e-1)"	"unprognostic (7.03e-3)"																							
SCN2A	"HBSCI, HBSCII, Nav1.2, SCN2A1, SCN2A2"	ENSG00000136531	"Sodium voltage-gated channel alpha subunit 2"	Q99250	2	165194993-165392310	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	17	"brain: 70.0"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 425.4;Inhibitory neurons: 349.2;Oligodendrocyte precursor cells: 231.1"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 2.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Rhabdoid: 5.8"	"Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells, Pituitary gland - Lactotropes, Testis - Peritubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			CAB022567	Enhanced						NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 14: Neurons - Synaptic function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 69: Neurons - Neuronal signaling"	4			"CAB022567: "			"unprognostic (5.41e-1)"				"unprognostic (3.49e-1)"	"unprognostic (1.29e-3)"		"unprognostic (1.74e-1)"			"unprognostic (1.38e-1)"						"unprognostic (1.99e-1)"				"unprognostic (1.25e-1)"								
SCN3A	Nav1.3	ENSG00000153253	"Sodium voltage-gated channel alpha subunit 3"	Q9NY46	2	165087526-165204050	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 8.9;lymphoid tissue: 3.9"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 103.5;Excitatory neurons: 219.5;Inhibitory neurons: 161.8;Oligodendrocyte precursor cells: 336.3"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in single"		"Glioblastoma Multiforme (TCGA): 3.1"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	30	"memory B-cell: 13.3;naive B-cell: 15.4"	"Lineage enriched"	"Detected in single"	32	"B-cells: 15.4"	"Cancer enhanced"	"Detected in many"		"lung cancer: 9.7"	"Pituitary gland - Lactotropes, Spleen - B-cells (Spleen), Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA035396	Uncertain						NA	NA			"Cluster 34: B-cells - Unknown function"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 1: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"	1			"HPA035396: AB_2674607"			"unprognostic (5.07e-3)"			"unprognostic (3.91e-2)"	"unprognostic (1.28e-1)"	"potential prognostic favorable (3.01e-4)"									"unprognostic (1.31e-2)"									"unprognostic (4.18e-1)"					
SCN4A	"HYKPP, HYPP, Nav1.4, SkM1"	ENSG00000007314	"Sodium voltage-gated channel alpha subunit 4"	P35499	17	63938554-63972918	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Congenital myasthenic syndrome, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"skeletal muscle: 132.5;tongue: 51.9"	"Group enriched"	"Detected in some"	6	"Adipocytes: 40.2;Skeletal myocytes: 38.1"	"Cell type enriched"	"Detected in some"	27	"fibroblast: 36.6"	"Cancer enhanced"	"Detected in some"		"Thyroid Carcinoma (TCGA): 3.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Leukemia: 2.1;Sarcoma: 6.5"	"Pituitary gland - Somatotropes, Testis - Late spermatids"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in single"		"spinal cord: 1.3"	HPA070997			Uncertain	"Golgi apparatus"			NA	NA				"Cluster 2: Skeletal muscle - Striated muscle contraction"		"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"		"Golgi apparatus"		"HPA070997: "			"unprognostic (2.36e-3)"					"unprognostic (1.53e-1)"			"potential prognostic favorable (1.24e-7)"																		"unprognostic (3.10e-1)"	"unprognostic (3.59e-1)"	
SCN5A	"CDCD2, CMD1E, CMPD2, HB1, HB2, HBBD, HH1, ICCD, IVF, LQT3, Nav1.5, PFHB1, SSS1"	ENSG00000183873	"Sodium voltage-gated channel alpha subunit 5"	Q14524	3	38548057-38649687	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Calmodulin-binding, Ion channel, Sodium channel, Voltage-gated channel"	"Atrial fibrillation, Brugada syndrome, Cardiomyopathy, Disease variant, FDA approved drug targets, Long QT syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	21	"heart muscle: 41.3"	"Group enriched"	"Detected in some"	4	"Cardiomyocytes: 57.8;Cone photoreceptor cells: 34.0;Oocytes: 20.6"	"Cell type enhanced"	"Detected in many"		"eccentric medium spiny neuron: 37.8;fibroblast: 22.6"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Neuroblastoma: 5.5;Sarcoma: 4.2"	"Breast - Breast myoepithelial cells, Colon - Colon enteroendocrine cells, Heart muscle - Cardiomyocytes, Pituitary gland - Undifferentiated cells (Pituitary gland)"	"Group enriched"	"Detected in many"	5	"amygdala: 3.1;basal ganglia: 10.1;hypothalamus: 6.0"	"Region enhanced"	"Detected in many"		"basal ganglia: 6.6"	HPA063346			Supported	"Nucleoplasm,Nucleoli,Plasma membrane"			NA	NA				"Cluster 30: Heart muscle - Heart development"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 68: Cardiomyocytes - Muscle contraction"	11	"Plasma membrane"	"Nucleoplasm, Nucleoli"	"HPA063346: "	"unprognostic (9.16e-2)"																												"unprognostic (1.53e-1)"		
SCN8A	"CerIII, CIAT, MED, NaCh6, Nav1.6, PN4"	ENSG00000196876	"Sodium voltage-gated channel alpha subunit 8"	Q9UQD0	12	51590266-51812864	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Disease variant, Epilepsy, FDA approved drug targets, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"brain: 17.5;pituitary gland: 6.5;retina: 7.6"	"Group enriched"	"Detected in many"	4	"Excitatory neurons: 325.4;Inhibitory neurons: 269.0;Oligodendrocyte precursor cells: 98.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Liver - Hepatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB022169, HPA043937, HPA073590"			Approved	"Vesicles,Plasma membrane,Cell Junctions"			NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 8: Neurons - Neuronal signaling"	1	"Plasma membrane"	"Vesicles, Cell Junctions"	"CAB022169: , HPA043937: , HPA073590: "			"unprognostic (1.37e-1)"			"unprognostic (2.40e-1)"	"unprognostic (7.00e-2)"	"potential prognostic favorable (2.44e-4)"					"unprognostic (7.21e-2)"		"unprognostic (8.57e-3)"		"unprognostic (3.78e-1)"		"potential prognostic favorable (3.92e-4)"	"unprognostic (1.68e-2)"			"unprognostic (2.49e-1)"			"unprognostic (2.75e-1)"		"unprognostic (2.10e-1)"	"unprognostic (2.70e-1)"		
SCN9A	"ETHA, Nav1.7, NE-NA, NENA, PN1"	ENSG00000169432	"Sodium voltage-gated channel alpha subunit 9"	Q15858	2	166195185-166376001	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 6.1"	"Cell type enhanced"	"Detected in many"		"dendritic cells: 110.7;Exocrine glandular cells: 52.7;Hofbauer cells: 65.0;Langerhans cells: 53.3;Lymphatic endothelial cells: 59.2;Oligodendrocyte precursor cells: 125.5;Schwann cells: 89.5;Sertoli cells: 73.4"	"Cell type enhanced"	"Detected in all"		"oligodendrocyte precursor cell: 408.5"	"Cancer enhanced"	"Detected in some"		"Lung Squamous Cell Carcinoma (TCGA): 4.4"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	16	"plasmacytoid DC: 23.6"	"Lineage enriched"	"Detected in single"	26	"dendritic cells: 23.6"	"Cancer enhanced"	"Detected in many"		"Rhabdoid: 44.7"	"Kidney - Proximal tubular cells, Testis - Sertoli cells"	"Region enriched"	"Detected in many"	5	"hypothalamus: 9.3"	"Low region specificity"	"Detected in many"			"CAB013679, HPA061843"	Uncertain		Approved	"Plasma membrane,Actin filaments,Focal adhesion sites"			NA	NA			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 44: Testis - Spermatogenesis"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 58: Macrophages - Innate immune response"		"Plasma membrane, Actin filaments, Focal adhesion sites"		"CAB013679: , HPA061843: AB_2684625"			"unprognostic (3.00e-1)"			"unprognostic (1.04e-1)"		"unprognostic (5.89e-2)"	"unprognostic (1.14e-2)"		"unprognostic (2.70e-2)"	"unprognostic (7.62e-2)"			"unprognostic (2.59e-2)"	"unprognostic (4.04e-1)"	"unprognostic (3.27e-2)"	"unprognostic (1.61e-2)"	"unprognostic (2.96e-2)"			"unprognostic (1.02e-1)"	"unprognostic (7.58e-3)"			"unprognostic (1.78e-1)"					
TPCN1	"FLJ20612, KIAA1169, TPC1"	ENSG00000186815	"Two pore segment channel 1"	Q9ULQ1	12	113221050-113298585	"Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 165.3;Microglial cells: 76.0"	"Cell type enhanced"	"Detected in all"		"fibroblast: 439.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA039757	Approved						NA	NA			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 65: Cerebellum - Nervous system development"	"Cluster 25: Non-specific - Transcription"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 47: Astrocytes - Unknown function"	4			"HPA039757: AB_10795156"	"unprognostic (1.21e-2)"	"unprognostic (5.17e-3)"	"unprognostic (4.94e-2)"	"unprognostic (2.13e-3)"	"unprognostic (5.77e-2)"	"unprognostic (6.04e-2)"	"unprognostic (1.83e-1)"	"unprognostic (1.03e-1)"	"unprognostic (4.13e-2)"	"unprognostic (1.75e-3)"	"unprognostic (6.52e-3)"	"unprognostic (4.45e-1)"	"potential prognostic favorable (3.64e-4)"	"potential prognostic unfavorable (3.49e-4)"	"unprognostic (1.58e-1)"	"unprognostic (2.45e-1)"	"potential prognostic unfavorable (5.13e-4)"	"unprognostic (4.92e-2)"	"unprognostic (1.80e-1)"	"unprognostic (3.16e-2)"	"unprognostic (2.56e-2)"	"unprognostic (8.72e-3)"	"unprognostic (1.90e-3)"	"unprognostic (3.69e-1)"	"unprognostic (5.00e-2)"	"unprognostic (2.21e-1)"	"unprognostic (1.37e-1)"	"unprognostic (6.14e-2)"	"unprognostic (9.62e-2)"	"unprognostic (2.78e-1)"	"unprognostic (8.79e-3)"
TPCN2	TPC2	ENSG00000162341	"Two pore segment channel 2"	Q8NHX9	11	69048932-69136316	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 29.5;Inhibitory neurons: 21.5;Melanocytes: 41.2;Oligodendrocyte precursor cells: 24.5"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"Skin Cuteneous Melanoma (TCGA): 24.1"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes, Stomach - Parietal cells"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"HPA016561, HPA027080"	Supported		Approved	Nucleoli			NA	NA			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 66: Non-specific - Transcription"	"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 24: Non-specific - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	3	Nucleoli		"HPA016561: AB_1858207, HPA027080: AB_10600917"	"unprognostic (7.63e-2)"	"unprognostic (7.27e-2)"	"unprognostic (1.70e-3)"	"unprognostic (7.30e-3)"	"unprognostic (5.76e-2)"	"unprognostic (1.53e-1)"	"unprognostic (6.58e-2)"	"unprognostic (6.77e-3)"	"unprognostic (1.96e-3)"	"unprognostic (2.81e-1)"	"validated prognostic favorable (7.62e-6)"	"validated prognostic favorable (6.75e-4)"	"unprognostic (1.29e-1)"	"unprognostic (1.58e-1)"	"unprognostic (3.81e-2)"	"unprognostic (1.36e-1)"	"unprognostic (1.58e-1)"	"unprognostic (1.33e-3)"	"unprognostic (3.14e-1)"	"unprognostic (1.61e-3)"	"unprognostic (5.83e-2)"	"unprognostic (8.29e-2)"	"unprognostic (1.73e-3)"	"unprognostic (8.50e-2)"	"unprognostic (1.59e-2)"	"unprognostic (9.51e-3)"	"unprognostic (1.70e-1)"	"unprognostic (2.35e-1)"	"unprognostic (3.41e-2)"	"unprognostic (8.39e-2)"	"unprognostic (1.02e-1)"
